#Spur fields
-39.0 1.0734 148.84873648214204 37.47730843001673
-35.0 1.2229 151.91000006440598 40.69834287714925
-31.0 1.3392 155.30579051581915 43.811938401106296
-27.0 1.4145 159.10388388101555 46.78973295259069
#Stream fields near spur
-40.75 0.2125 148.3726672440433 35.565014253246986
-36.85 0.16550000000000006 151.44830806068288 38.59747090246093
-32.95 0.12475000000000001 154.78428497230126 41.547052666482394
-29.050000000000004 0.13 158.3862686814848 44.423382207493965
#Wiggle fields
-9 -0.21500000000000002 -175.85214841348903 56.23432692503457
-7.08333333333 -0.33875 -172.59749897300875 56.92449999007866
-5.16666666667 -0.5366666666666667 -169.17964157554005 57.457234720222054
-3.25 -0.7862500000000001 -165.64057750614086 57.84504746134514
-1.33333333333 -0.9833333333333335 -162.05935003251093 58.18233381583035
0.583333333333 -1.13375 -158.4374811040826 58.462241536856524
#Blob fields
-13.90714 -0.5998 177.0143804735331 53.51104247032073
-11.9904733333 -0.5998 179.81430609302416 54.49379910688161
